__header__:DGON,dim1,dim2,dim3,Value
Rice,dom,NAD,0.7071200013160706
Rice,dom,SumUt,4.2378644943237305
Rice,dom,SumBar,1.213216781616211
Rice,dom,RiauProv,0.38359755277633667
Rice,dom,KepRi,7.956042766571045
Rice,dom,Jambi,3.6556124687194824
Rice,dom,SumSel,2.7271769046783447
Rice,dom,BaBel,0.9747430682182312
Rice,dom,Bengkulu,0.43965527415275574
Rice,dom,Lampung,0.4515598714351654
Rice,dom,DKI,0.4562150239944458
Rice,dom,JaBar,0.3322775065898895
Rice,dom,Banten,0.17606523633003235
Rice,dom,JaTeng,0.8520742654800415
Rice,dom,DIY,0.15971939265727997
Rice,dom,JaTim,0.44027918577194214
Rice,dom,KalBar,0.6573228240013123
Rice,dom,KalTeng,0.5556750297546387
Rice,dom,KalSel,0.5574266910552979
Rice,dom,KalTim,0.5680875778198242
Rice,dom,KalUt,0.5659933090209961
Rice,dom,SulUt,0.4068342447280884
Rice,dom,Gorontalo,0.4106186032295227
Rice,dom,SulTeng,0.4266864061355591
Rice,dom,SulaSel,0.6434770822525024
Rice,dom,SulBar,0.2186589539051056
Rice,dom,SulTra,0.4834768772125244
Rice,dom,Bali,1.0342899560928345
Rice,dom,NTB,1.0482614040374756
Rice,dom,NTT,1.5391672849655151
Rice,dom,Maluku,1.7717968225479126
Rice,dom,MalUt,1.8151814937591553
Rice,dom,PapuaBar,3.056840181350708
Rice,dom,PapuaProv,3.092477560043335
Rice,imp,NAD,10.198894500732422
Rice,imp,SumUt,8.813026428222656
Rice,imp,SumBar,7.022023677825928
Rice,imp,RiauProv,7.376093864440918
Rice,imp,KepRi,11.406169891357422
Rice,imp,Jambi,6.252315998077393
Rice,imp,SumSel,5.218291759490967
Rice,imp,BaBel,6.111240863800049
Rice,imp,Bengkulu,5.7868757247924805
Rice,imp,Lampung,4.1675872802734375
Rice,imp,DKI,0.1963183581829071
Rice,imp,JaBar,1.1038486957550049
Rice,imp,Banten,0.5700048208236694
Rice,imp,JaTeng,0.9318907260894775
Rice,imp,DIY,0.7850627899169922
Rice,imp,JaTim,0.3925511837005615
Rice,imp,KalBar,7.1385273933410645
Rice,imp,KalTeng,5.885605335235596
Rice,imp,KalSel,5.427473068237305
Rice,imp,KalTim,7.094936847686768
Rice,imp,KalUt,8.168118476867676
Rice,imp,SulUt,11.00883960723877
Rice,imp,Gorontalo,10.389781951904297
Rice,imp,SulTeng,9.582976341247559
Rice,imp,SulaSel,8.790019035339355
Rice,imp,SulBar,8.353926658630371
Rice,imp,SulTra,9.674332618713379
Rice,imp,Bali,2.8344428539276123
Rice,imp,NTB,4.9050397872924805
Rice,imp,NTT,7.920509338378906
Rice,imp,Maluku,16.83066749572754
Rice,imp,MalUt,14.640515327453613
Rice,imp,PapuaBar,19.397966384887695
Rice,imp,PapuaProv,24.941377639770508
Corn,dom,NAD,1.0193980932235718
Corn,dom,SumUt,6.124210834503174
Corn,dom,SumBar,0.5449432134628296
Corn,dom,RiauProv,6.715062618255615
Corn,dom,KepRi,12.060869216918945
Corn,dom,Jambi,4.343662261962891
Corn,dom,SumSel,0.5164121389389038
Corn,dom,BaBel,8.646533966064453
Corn,dom,Bengkulu,0.5389354228973389
Corn,dom,Lampung,2.4670169353485107
Corn,dom,DKI,2.7984235286712646
Corn,dom,JaBar,1.7455873489379883
Corn,dom,Banten,3.7208080291748047
Corn,dom,JaTeng,0.173466295003891
Corn,dom,DIY,0.1603635847568512
Corn,dom,JaTim,0.4054856598377228
Corn,dom,KalBar,5.6074299812316895
Corn,dom,KalTeng,5.265981674194336
Corn,dom,KalSel,2.8841469287872314
Corn,dom,KalTim,5.318714141845703
Corn,dom,KalUt,6.5933942794799805
Corn,dom,SulUt,0.41456449031829834
Corn,dom,Gorontalo,0.4067150950431824
Corn,dom,SulTeng,0.4352664649486542
Corn,dom,SulaSel,0.6067068576812744
Corn,dom,SulBar,0.22154900431632996
Corn,dom,SulTra,0.5307552814483643
Corn,dom,Bali,2.542867422103882
Corn,dom,NTB,1.0544404983520508
Corn,dom,NTT,1.5553772449493408
Corn,dom,Maluku,5.130939960479736
Corn,dom,MalUt,4.670870780944824
Corn,dom,PapuaBar,9.950983047485352
Corn,dom,PapuaProv,15.307170867919922
Corn,imp,NAD,3.6590464115142822
Corn,imp,SumUt,3.8778390884399414
Corn,imp,SumBar,3.627162456512451
Corn,imp,RiauProv,3.487884998321533
